slug,player,birth_country,season,age,team,gp,mpg,pts,reb,ast,stl,blk,per,ts_pct,usg_pct,ws,ws_per_48,bpm,vorp
jaricma01,Marko Jarić,RS,2000-01,,Did not play - other pro league,,,,,,,,,,,,,,
jaricma01,Marko Jarić,RS,2001-02,,Did not play - other pro league,,,,,,,,,,,,,,
jaricma01,Marko Jarić,RS,2002-03,24,LAC,66,20.9,7.4,2.4,2.9,1.5,0.2,14.4,.498,19.5,1.9,.067,0.4,0.8
jaricma01,Marko Jarić,RS,2003-04,25,LAC,58,30.3,8.5,3.0,4.8,1.6,0.3,12.6,.475,16.0,1.5,.042,-0.7,0.6
jaricma01,Marko Jarić,RS,2004-05,26,LAC,50,33.1,9.9,3.2,6.1,1.7,0.3,13.9,.500,16.5,2.8,.080,1.0,1.3
jaricma01,Marko Jarić,RS,2005-06,27,MIN,75,28.0,7.8,3.1,3.9,1.4,0.3,11.7,.468,17.0,2.3,.053,-0.7,0.7
jaricma01,Marko Jarić,RS,2006-07,28,MIN,70,22.2,5.3,2.6,2.1,1.1,0.2,9.6,.510,13.5,1.5,.048,-1.6,0.1
jaricma01,Marko Jarić,RS,2007-08,29,MIN,75,29.2,8.3,3.0,4.1,1.3,0.4,12.1,.518,15.0,2.4,.053,-0.9,0.6
jaricma01,Marko Jarić,RS,2008-09,30,MEM,53,11.4,2.6,1.2,1.4,0.5,0.2,7.3,.417,16.4,-0.4,-0.030,-4.3,-0.4
jaricma01,Marko Jarić,RS,2009-10,,Did not play - other pro league,,,,,,,,,,,,,,
jaricma01,Marko Jarić,RS,2010-11,,Did not play - other pro league,,,,,,,,,,,,,,
langhda01,Dan Langhi,US,2000-01,23,HOU,33,7.3,2.7,1.2,0.1,0.2,0.0,9.4,.403,22.9,-0.1,-0.014,-6.3,-0.3
langhda01,Dan Langhi,US,2001-02,24,HOU,34,12.8,3.1,2.0,0.4,0.2,0.1,8.5,.412,14.8,0.0,.001,-4.6,-0.3
langhda01,Dan Langhi,US,2002-03,25,PHO,60,9.0,3.1,1.5,0.4,0.3,0.1,9.4,.434,18.8,0.4,.038,-3.6,-0.2
langhda01,Dan Langhi,US,2003-04,26,MIL,2,10.0,3.5,0.5,0.0,0.0,0.0,5.1,.438,18.1,0.0,-0.019,-3.9,0.0
guytoaj01,A.J. Guyton,US,2000-01,22,CHI,33,19.1,6.0,1.1,1.9,0.3,0.2,10.3,.495,16.5,0.3,.020,-4.0,-0.3
guytoaj01,A.J. Guyton,US,2001-02,23,CHI,45,13.5,5.4,1.0,1.8,0.2,0.2,11.8,.477,22.2,0.1,.006,-1.6,0.1
guytoaj01,A.J. Guyton,US,2002-03,24,GSW,2,4.5,0.0,0.0,1.0,0.5,0.0,-9.0,.000,23.6,-0.1,-0.450,-16.4,0.0
voskuja01,Jake Voskuhl,US,2000-01,23,CHI,16,8.9,1.9,2.1,0.3,0.3,0.4,5.8,.481,14.0,0.0,-0.007,-9.9,-0.3
voskuja01,Jake Voskuhl,US,2001-02,24,PHO,59,15.3,5.0,4.2,0.3,0.2,0.4,13.9,.614,14.4,2.7,.143,-3.0,-0.2
voskuja01,Jake Voskuhl,US,2002-03,25,PHO,65,14.6,3.8,3.5,0.6,0.3,0.4,11.8,.604,12.0,2.5,.129,-2.2,0.0
voskuja01,Jake Voskuhl,US,2003-04,26,PHO,66,24.3,6.6,5.2,0.9,0.6,0.4,11.2,.577,12.8,3.3,.097,-2.9,-0.4
voskuja01,Jake Voskuhl,US,2004-05,27,PHO,38,9.5,2.1,2.4,0.4,0.1,0.3,8.7,.528,11.6,0.6,.075,-3.2,-0.1
voskuja01,Jake Voskuhl,US,2005-06,28,CHA,51,16.0,5.3,3.6,0.8,0.5,0.5,11.0,.470,17.4,1.0,.061,-4.4,-0.5
