draft_year,overall_pick,round,player,slug,team
2000,30,2,Marko Jarić,jaricma01,LAC
2000,31,2,Dan Langhi,langhda01,DAL
2000,32,2,A.J. Guyton,guytoaj01,CHI
2000,33,2,Jake Voskuhl,voskuja01,CHI
2000,34,2,Khalid El-Amin,elamikh01,CHI
2000,35,2,Mike Smith,smithmi03,WAS
2000,36,2,Soumaila Samake,samakso01,NJN
2000,37,2,Eddie House,houseed01,MIA
2000,38,2,Eduardo Nájera,najered01,HOU
2000,39,2,Lavor Postell,postela01,NYK
2000,40,2,Hanno Möttölä,mottoha01,ATL
2000,41,2,Chris Carrawell,carrach01,SAS
2000,42,2,Olumide Oyedeji,oyedeol01,SEA
2000,43,2,Michael Redd,reddmi01,MIL
2000,44,2,Brian Cardinal,cardibr01,DET
2000,45,2,Jabari Smith,smithja01,SAC
2000,46,2,DeeAndre Hulett,huletde01,TOR
2000,47,2,Josip Sesar,sesarjo01,SEA
2000,48,2,Mark Karcher,karchma01,PHI
2000,49,2,Jason Hart,hartja01,MIL
2000,50,2,Kaniel Dickens,dickeka01,UTA
2000,51,2,Igor Rakočević,rakocig01,MIN
2000,52,2,Ernest Brown,browner01,MIA
2000,53,2,Dan McClintock,mcclida01,DEN
2000,54,2,Cory Hightower,hightco01,SAS
2000,55,2,Chris Porter,portech01,GSW
2000,56,2,Jaquay Walls,wallsja01,IND
2000,57,2,Scoonie Penn,pennsc01,ATL
2000,58,2,Pete Mickeal,mickepe01,DAL
2001,30,2,Trenton Hassell,hassetr01,CHI
2001,31,2,Gilbert Arenas,arenagi01,GSW
2001,32,2,Omar Cook,cookom01,ORL
2001,33,2,Will Solomon,solomwi01,MEM
2001,34,2,Terence Morris,morrite01,ATL
2001,35,2,Brian Scalabrine,scalabr01,NJN
2001,36,2,Jeff Trepagnier,trepaje01,CLE
2001,37,2,Damone Brown,brownda02,PHI
2001,38,2,Mehmet Okur,okurme01,DET
2001,39,2,Michael Wright,wrighmi01,NYK
2001,40,2,Earl Watson,watsoea01,SEA
2001,41,2,Jamison Brewer,breweja01,IND
2001,42,2,Bobby Simmons,simmobo01,SEA
2001,43,2,Eric Chenowith,chenoer01,NYK
2001,44,2,Kyle Hill,hillky01,DAL
2001,45,2,Sean Lampley,lamplse01,CHI
2001,46,2,Loren Woods,woodslo01,MIN
2001,47,2,Ousmane Cisse,cisseou01,DEN
2001,48,2,Antonis Fotsis,fotsian01,MEM
2001,49,2,Ken Johnson,johnske03,MIA
2001,50,2,Ruben Boumtje-Boumtje,boumtru01,POR
2001,51,2,Alton Ford,fordal02,PHO
2001,52,2,Andre Hutson,hutsoan01,MIL
2001,53,2,Jarron Collins,collija03,UTA
2001,54,2,Kenny Satterfield,satteke01,DAL
2001,55,2,Maurice Jeffers,jeffema01,SAC
2001,56,2,Robertas Javtokas,javtoro01,SAS
2001,57,2,Alvin Jones,jonesal01,PHI
2001,58,2,Bryan Bracey,bracebr01,SAS
2002,30,2,Steve Logan,loganst01,GSW
2002,31,2,Roger Mason,masonro01,CHI
2002,32,2,Robert Archibald,archiro01,MEM
2002,33,2,Vincent Yarbrough,yarbrvi01,DEN
2002,34,2,Dan Gadzuric,gadzuda01,MIL
2002,35,2,Carlos Boozer,boozeca01,CLE
2002,36,2,Milos Vujanic,vujanmi01,NYK
2002,37,2,David Andersen,anderda03,ATL
2002,38,2,Tito Maddox,maddoti01,HOU
2002,39,2,Rod Grizzard,grizzro01,WAS
2002,40,2,Juan Carlos Navarro,navarju01,WAS
2002,41,2,Mario Kasun,kasunma01,LAC
2002,42,2,Ronald Murray,murraro01,MIL
2002,43,2,Jason Jennings,jennija01,POR
